Healthy, Infected, Recovered, Immune
63014,8302,28684,0
62973,8307,28720,0
62927,8321,28752,0
62875,8337,28788,0
62833,8345,28822,0
62797,8328,28875,0
62758,8310,28932,0
62687,8329,28984,0
62618,8357,29025,0
62560,8378,29062,0
62501,8402,29097,0
62460,8422,29118,0
62400,8423,29177,0
62347,8435,29218,0
62304,8401,29295,0
62239,8407,29354,0
62185,8407,29408,0
62132,8395,29473,0
62083,8394,29523,0
62034,8390,29576,0
61989,8383,29628,0
61956,8375,29669,0
61916,8361,29723,0
61887,8329,29784,0
61848,8299,29853,0
61803,8301,29896,0
61753,8305,29942,0
61696,8319,29985,0
61642,8326,30032,0
61619,8302,30079,0
61588,8271,30141,0
61542,8256,30202,0
61511,8228,30261,0
61471,8210,30319,0
61413,8228,30359,0
61368,8216,30416,0
61334,8195,30471,0
61293,8181,30526,0
61262,8169,30569,0
61214,8168,30618,0
61166,8156,30678,0
61130,8135,30735,0
61065,8134,30801,0
61025,8124,30851,0
60974,8136,30890,0
60942,8139,30919,0
60897,8154,30949,0
60863,8151,30986,0
60830,8152,31018,0
60780,8160,31060,0
60744,8154,31102,0
60709,8127,31164,0
60670,8117,31213,0
60639,8120,31241,0
60600,8116,31284,0
60576,8101,31323,0
60531,8092,31377,0
60499,8090,31411,0
60460,8101,31439,0
60418,8084,31498,0
60400,8048,31552,0
60375,8045,31580,0
60346,8019,31635,0
60308,8006,31686,0
60277,7996,31727,0
60207,8033,31760,0
60155,8023,31822,0
60115,8012,31873,0
60086,7987,31927,0
60033,8006,31961,0
60006,8003,31991,0
59976,8019,32005,0
59949,7999,32052,0
59904,8009,32087,0
59872,8002,32126,0
59846,7987,32167,0
59925,7682,32393,0
59906,7623,32471,0
59857,7632,32511,0
59805,7649,32546,0
59758,7658,32584,0
59686,7688,32626,0
59646,7671,32683,0
59600,7673,32727,0
59561,7678,32761,0
59529,7677,32794,0
59498,7670,32832,0
59457,7668,32875,0
59409,7680,32911,0
59381,7659,32960,0
59363,7654,32983,0
59331,7656,33013,0
59295,7654,33051,0
59246,7645,33109,0
59211,7639,33150,0
59174,7650,33176,0
59144,7659,33197,0
59103,7661,33236,0
59069,7668,33263,0
59021,7669,33310,0
58991,7651,33358,0
58946,7652,33402,0
58897,7669,33434,0
58856,7690,33454,0
58804,7706,33490,0
58760,7716,33524,0
58702,7736,33562,0
58658,7743,33599,0
